time,Stimeseries
0.0,5.0e7
0.1,5.00659e7
0.2,5.01339e7
0.30000000000000004,5.01961e7
0.4,5.02625e7
0.5,5.03352e7
0.6000000000000001,5.04039e7
0.7000000000000001,5.04748e7
0.8,5.05395e7
0.9,5.06056e7
1.0,5.06747e7
1.1,5.07513e7
1.2000000000000002,5.08328e7
1.3,5.08971e7
1.4000000000000001,5.09636e7
1.5,5.10355e7
1.6,5.11147e7
1.7000000000000002,5.11958e7
1.8,5.12742e7
1.9000000000000001,5.13431e7
2.0,5.14211e7
2.1,5.15024e7
2.2,5.15864e7
2.3000000000000003,5.1667e7
2.4000000000000004,5.17398e7
2.5,5.18232e7
2.6,5.19085e7
2.7,5.19876e7
2.8000000000000003,5.20704e7
2.9000000000000004,5.21518e7
3.0,5.22374e7
3.1,5.23223e7
3.2,5.24022e7
3.3000000000000003,5.24847e7
3.4000000000000004,5.25638e7
3.5,5.26457e7
3.6,5.27248e7
3.7,5.28093e7
3.8000000000000003,5.289e7
3.9000000000000004,5.29731e7
4.0,5.30539e7
4.1000000000000005,5.31379e7
4.2,5.32212e7
4.3,5.33077e7
4.4,5.33949e7
4.5,5.34865e7
4.6000000000000005,5.35666e7
4.7,5.36605e7
4.800000000000001,5.37431e7
4.9,5.38288e7
5.0,5.39138e7
5.1000000000000005,5.40105e7
5.2,5.41011e7
5.300000000000001,5.4198e7
5.4,5.42936e7
5.5,5.43815e7
5.6000000000000005,5.44747e7
5.7,5.45681e7
5.800000000000001,5.46653e7
5.9,5.47629e7
6.0,5.48587e7
6.1000000000000005,5.49522e7
6.2,5.50549e7
6.300000000000001,5.51468e7
6.4,5.52492e7
6.5,5.53421e7
6.6000000000000005,5.54407e7
6.7,5.55297e7
6.800000000000001,5.56311e7
6.9,5.57303e7
7.0,5.5829e7
7.1000000000000005,5.59267e7
7.2,5.60277e7
7.300000000000001,5.61376e7
7.4,5.62392e7
7.5,5.63355e7
7.6000000000000005,5.64381e7
7.7,5.65381e7
7.800000000000001,5.66421e7
7.9,5.67441e7
8.0,5.68486e7
8.1,5.69571e7
8.200000000000001,5.70619e7
8.3,5.71692e7
8.4,5.72771e7
8.5,5.73838e7
8.6,5.74958e7
8.700000000000001,5.75964e7
8.8,5.77008e7
8.9,5.78169e7
9.0,5.792e7
9.1,5.80302e7
9.200000000000001,5.81344e7
9.3,5.82431e7
9.4,5.83534e7
9.5,5.84658e7
9.600000000000001,5.8569e7
9.700000000000001,5.86799e7
9.8,5.87859e7
9.9,5.89036e7
10.0,5.90106e7
10.100000000000001,5.91162e7
10.200000000000001,5.92301e7
10.3,5.93445e7
10.4,5.9457e7
10.5,5.95696e7
10.600000000000001,5.96835e7
10.700000000000001,5.98e7
10.8,5.99068e7
10.9,6.00223e7
11.0,6.01346e7
11.100000000000001,6.0251e7
11.200000000000001,6.03651e7
11.3,6.04768e7
11.4,6.05944e7
11.5,6.07143e7
11.600000000000001,6.08274e7
11.700000000000001,6.09408e7
11.8,6.10595e7
11.9,6.11737e7
12.0,6.12917e7
12.100000000000001,6.14109e7
12.200000000000001,6.15239e7
12.3,6.16442e7
12.4,6.17586e7
12.5,6.18657e7
12.600000000000001,6.1989e7
12.700000000000001,6.21092e7
